trading_symbol,groww_symbol,company_name,exchange,isin,sector,industry,business_summary,employees,ceo_name,founded_year,last_price,average_price,day_open,day_high,day_low,previous_close,day_change,day_change_perc,bid_price,bid_quantity,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,volume,price_source,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,above_sma_50,above_sma_200,golden_cross,rsi_14,rsi_verdict,macd,macd_signal,macd_histogram,macd_verdict,pivot,resistance_1,resistance_2,resistance_3,support_1,support_2,support_3,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,annualized_volatility_pct,technical_summary,bullish_signal_count,bearish_signal_count,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,trailing_eps,forward_eps,book_value,roe,roa,gross_margin,operating_margin,ebitda_margin,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,total_revenue,net_income,operating_cash_flow,free_cash_flow,latest_quarter_revenue,latest_quarter_revenue_yoy_growth_pct,latest_quarter_profit,latest_quarter_profit_yoy_growth_pct,revenue_cagr_3y_pct,profit_cagr_3y_pct,dividend_yield,payout_ratio,last_dividend_amount,last_dividend_ex_date,next_earnings_date,beta,fifty_two_week_change,short_ratio,held_percent_insiders,held_percent_institutions,promoter_holding_pct,public_holding_pct,shareholding_as_of,analyst_recommendation,analyst_count,analyst_target_mean,analyst_target_high,analyst_target_low,recent_news,news_positive_signals,news_negative_signals,recent_corporate_announcements,fetched_at
TCS,NSE-TCS,TCS,NSE,INE467B01029,Technology,Information Technology Services,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cloud, SAP transformation with AI-powered smart solutions; ignio, a cognitive automation software product; TCS iON, a learning ecosystem; and TCS HOBS, a cloud-native, catalog-centric platform with composable architecture and insights-led personalization capabilities. It also offers TCS Intelligent Urban Exchange for enterprises and smart cities; TCS OmniStore, a retail commerce platform; TCS Optumera, a strategic intelligence platform; TCS Tap, a platform for intelligent procurement; Quartz, a distributed ledger technology; TCS TwinX, a risk-free experimentation platform; TCS MasterCraft, an AI-driven cognitive automation product; Jile, an enterprise agile planning and delivery tool; TCS DigiBOLT, an end-to-end, organization-wide enterprise platform; and TCS AI WisdomNext, an enterprise grade GenAI platform. In addition, the company provides AI, data and analytics, cloud, cognitive business, consulting, cybersecurity, enterprise solutions, industrial autonomy and engineering, network solutions and services, TCS interactive, and sustainability services. It serves banking; capital markets; consumer packaged goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high tech; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. The company operates as a subsidiary of Tata Sons Private Limited.",584519.0,"Mr. K.  Krithivasan B.E, M.Tech.",1968.0,,,,,,,,,,,,,,,,yfinance,2226.28,2163.19,2112.23,2173.8,2303.48,2644.89,2218.03,2182.38,2154.28,2197.41,2333.71,2571.3,True,False,False,74.48,overbought,17.95,-8.67,26.62,bullish,2233.17,2247.83,2274.57,2289.23,2206.43,2191.77,2165.03,4.96,-10.24,-29.41,-28.45,23.65,bullish,9,5,8036134420480,7710124277760.0,16.148758,13.693244,2.97,,7.3300247,2.795,10.698,137.54,162.20409,303.014,0.47743,0.24479,0.40389,0.23963,0.26125,0.18052,0.139,0.046,0.046,10.211,2.276,2.045,2758590070784.0,497990008832,523459985408.0,397165002752.0,722750000000.0,12.09,133490000000.0,9.2,5.8,5.3,2.89,0.38509998,12.0,2026-07-15,,0.241,,,0.71795,0.17552,71.77,28.23,31-MAR-2026,buy,42.0,2481.0476,3655.0,1800.0,"TCS shares rise 2.35% on NSE amid strong AI, deal momentum (MSN, 2026-07-17) | TCS to Announce Q1 FY27 Financial Results on July 9, 2026 (scanx.trade, 2026-07-09) | TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus (Business Standard, 2026-07-09) | TCS share price falls 2% ahead of Q1 results 2026. Should you buy or sell? (livemint.com, 2026-07-09) | TCS shares rise 2.35% as IT rally strengthens market (MSN, 2026-07-17)",1,4,16-Jul-2026 11:30:08: Updates | 15-Jul-2026 19:37:13: Analysts/Institutional Investor Meet/Con. Call Updates | 15-Jul-2026 11:30:12: Updates,2026-07-21T18:26:17.975551+00:00
INFY,NSE-INFY,Infosys,NSE,INE009A01021,Technology,Information Technology Services,"Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also provides digital supply chain, Microsoft business application services, Microsoft cloud business, Oracle, SAP, service experience transformation, Salesforce, energy transition, network transformation services, infrastructure services, global capability center, and Infosys Cobalt, a suite of services, solutions, and platforms. In addition, the company offers experience services, including digital marketing, digital commerce, digital interactions, digital workplace services, digital experience, metaverse, and Infosys Aster, a marketing suite; and EdgeVerve, Infosys Finacle, Infosys Live Enterprise Suite, Infosys Cortex, Infosys Meridian, Panaya, Infosys Equinox, Infosys Topaz Fabric, Infosys Wingspan, Infosys Helix, and Infosys Polycloud platforms. It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication services, consumer packaged goods, education, engineering procurement and construction, financial services, oil and gas, private equity, professional services, public sector, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life sciences, logistics and distribution, media, entertainment, mining, retail, semiconductor, travel and hospitality, utilities, and waste management industries. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",328594.0,Mr. Salil Satish Parekh,1981.0,,,,,,,,,,,,,,,,yfinance,1083.16,1079.94,1058.14,1105.13,1167.07,1338.37,1081.81,1077.75,1076.93,1109.09,1179.52,1284.86,False,False,False,68.47,neutral,-4.65,-11.59,6.95,bullish,1078.4,1089.6,1105.7,1116.9,1062.3,1051.1,1035.0,0.76,-11.6,-35.1,-30.75,27.11,bearish,3,11,4346524205056,4341705998336.0,14.229851,13.170477,2.05,215.6228,4.6043296,215.384,980.512,75.44,81.50806,233.15013,0.31439,0.15093,0.29517,0.20928,0.21966,0.16434999,0.066,0.118,0.132,9.827,1.978,1.716,20157999104.0,3312999936,4039000064.0,3170249984.0,5040000000.0,6.55,919000000.0,13.04,3.44,3.58,4.6,0.6465,25.0,2026-06-10,2026-07-23,0.131,,,0.16354999,0.5157,14.38,85.38,31-MAR-2026,buy,40.0,1325.7,1800.0,950.0,"Infosys Stock Leads 3 Founder Backed Indian Companies Worth Watching (simplywall.st, 2026-06-27) | Nifty IT falls nearly 3%; Infosys, TCS, Wipro among top losers as US rate fear, AI disruption weigh on... (Moneycontrol.com, 2026-06-30) | Mphasis, Persistent Systems, Infosys power IT rally; NIFTY IT index jumps over 3.5% (Upstox, 2026-07-01) | Allied Digital Services Ltd (ADSL) Share Price (Business Today, 2026-07-17) | INFY Forecast — Price Target — Prediction for 2027 (TradingView, 2026-06-25)",3,2,21-Jul-2026 15:36:37: Updates | 14-Jul-2026 20:54:14: Updates | 13-Jul-2026 14:47:47: General Updates,2026-07-21T18:26:22.994411+00:00
RIIL,NSE-RIIL,Reliance Indl. Infra,NSE,INE046A01015,Industrials,Engineering & Construction,"Reliance Industrial Infrastructure Limited engages in the infrastructure and support services activities in India. The company is involved in setting up and operating industrial infrastructure; transportation of petroleum products, natural gas, and raw water through its pipelines; and other infrastructure support services. It primarily operates in Mumbai and the Rasayani regions of Maharashtra, as well as the Surat and Jamnagar belts of Gujarat. The company was formerly known as CPPL Limited and changed its name to Reliance Industrial Infrastructure Limited in March 1994. Reliance Industrial Infrastructure Limited is based in Mumbai, India.",,Mr. Vipin Chandra Sati,,,,,,,,,,,,,,,,,yfinance,778.63,783.8,803.52,788.18,754.98,786.1,777.54,785.45,794.46,789.76,780.57,798.45,False,False,True,21.98,oversold,-7.54,-1.98,-5.56,bearish,770.52,779.73,793.22,802.43,757.03,747.82,734.33,-11.66,-2.96,2.02,-18.65,39.39,strongly bearish,1,13,11570374656,8360574976.0,95.304726,92.208176,1.07,27.8134,2.4414685,20.098,-93.571,8.04,8.31,313.848,,,0.86106,-0.41204,-0.21478,0.29159,-0.307,-0.083,-0.084,,,,416000000.0,121300000,,,86400000.0,-30.82,28400000.0,-11.25,-12.61,-10.99,0.45,0.4353,3.5,2026-06-12,,0.116,,,0.47276002,0.00712,45.43,54.57,31-MAR-2026,none,,,,,,0,0,15-Jul-2026 16:28:37: Press Release | 15-Jul-2026 16:24:59: Outcome of Board Meeting | 30-Jun-2026 16:37:13: Trading Window,2026-07-21T18:26:28.403485+00:00
VISL,NSE-VISL,Vedanta Iron & Steel,NSE,INE1CLE01013,Basic Materials,Steel,"Vedanta Iron and Steel Limited engages in the exploration, mining, and processing of iron ore in India and West Africa. It produces steel, wire rods, TMT bars, billets, pig iron, ductile iron pipes, ferro-silicon, cement, and metallurgical coke. The company was founded in 1954 and is based in Panjim, India. Vedanta Iron and Steel Limited is a subsidiary of Vedanta Resources Limited.",,Mr. Pankaj Kumar Sharma,1954.0,,,,,,,,,,,,,,,,yfinance,33.47,34.13,34.86,,,,33.48,34.0,33.07,29.04,25.91,23.75,,,,36.63,neutral,,,,,32.69,33.37,34.13,34.81,31.93,31.25,30.49,21.5,,,,80.58,bearish,3,7,127517753344,,,,,,-4.40081,,,-7.43,,-7.41,,-1.1127601,0.0,0.0,0.0,0.0,,,,,0.194,0.194,,-366000,-242000.0,-97875.0,,,,,,,,0.0,,,,,,,0.58387,0.095970005,56.38,43.46,30-JUN-2026,none,,,,,"Vedanta Iron & Steel zooms 10%, up 70% since listing; time to book profit? (Business Standard, 2026-06-30) | SEBI Vedanta listing: Goa Congress seeks pause on VISL over Rs 16,500 crore Goa mining liability (Goodreturns, 2026-07-19) | Multibagger Alert! Vedanta Iron and Steel share price soars 113% since listing - More upside ahead? (livemint.com, 2026-07-02) | Trending Stocks Today, July 3, 2026: PC Jeweller Spikes After Business Update; Vedanta Iron & Steel, Vedanta Oil & Gas Down on Profit Booking; Vodafone Idea Continues to Decline (HDFC Sky, 2026-07-03) | Vedanta Aluminium, Vedanta Iron & Steel: Vedanta Group firms post Q1 updates; key metrics to track (Upstox, 2026-07-06)",2,1,"18-Jul-2026 16:23:38: Agreements | 08-Jul-2026 11:41:44: Certificate under SEBI (Depositories and Participants) Regulations, 2018 | 03-Jul-2026 21:43:42: Updates",2026-07-21T18:26:31.761632+00:00
ADANIENSOL,NSE-ADANIENSOL,Adani Energy Solut.,NSE,INE931S01010,Utilities,Utilities - Independent Power Producers,"Adani Energy Solutions Limited, together with its subsidiaries, generates, transmits, and distributes power in India. It operates through the Transmission; Distribution; Smart Meter; Trading; and Others segments. The company is involved in the establishment, commission, setting up, operation, and maintenance of electric power transmission systems; development, ownership, and operation of transmission lines; trade of bullion and other commodities; and laying of optical ground wire fibers on transmission lines to telecom solutions to telecom companies, internet service providers, and long-distance communication operators. It also provides electricity meters to optimize real-time insights of electricity usage. The company was formerly known as Adani Transmission Limited and changed its name to Adani Energy Solutions Limited in July 2023. The company was incorporated in 2013 and is headquartered in Ahmedabad, India. Adani Energy Solutions Limited operates as a subsidiary of S.B. Adani Family Trust.",3514.0,Mr. Kandarp  Patel,2013.0,,,,,,,,,,,,,,,,yfinance,1712.24,1682.41,1611.72,1522.98,1331.74,1152.06,1715.06,1683.27,1633.53,1525.26,1385.73,1224.3,True,True,True,82.61,overbought,62.18,53.01,9.17,bullish,1749.73,1780.87,1820.13,1851.27,1710.47,1679.33,1640.07,13.13,27.94,91.66,98.68,46.21,strongly bullish,14,0,2092153962496,2570232791040.0,94.089676,53.784428,,7.5835567,8.227901,9.316,28.409,18.51,32.38112,211.67,0.096599996,0.053379998,0.45397,0.22225,0.32794,0.08274,0.168,0.035,0.057,194.5,1.154,0.7,275880312832.0,22825400320,109966802944.0,-121189285888.0,74432700000.0,27.67,6837800000.0,21.72,27.69,22.02,,0.0,,,2026-07-21,0.841,,,0.74035,0.22004999,72.73,27.27,31-MAR-2026,buy,9.0,1607.1111,1943.0,1434.0,"NHPC Share Price Today Live NSE/BSE - Stock Price, News and Chart Updates 19 July 2026 (ET Now, 2026-07-17)",0,0,21-Jul-2026 21:50:14: General Updates | 21-Jul-2026 18:51:34: Press Release | 21-Jul-2026 13:56:49: Outcome of Board Meeting,2026-07-21T18:26:35.480080+00:00
