trading_symbol,groww_symbol,company_name,exchange,isin,sector,industry,business_summary,employees,ceo_name,founded_year,last_price,average_price,day_open,day_high,day_low,previous_close,day_change,day_change_perc,bid_price,bid_quantity,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,volume,price_source,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,above_sma_50,above_sma_200,golden_cross,rsi_14,rsi_verdict,macd,macd_signal,macd_histogram,macd_verdict,pivot,resistance_1,resistance_2,resistance_3,support_1,support_2,support_3,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,annualized_volatility_pct,technical_summary,bullish_signal_count,bearish_signal_count,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,trailing_eps,forward_eps,book_value,roe,roa,gross_margin,operating_margin,ebitda_margin,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,total_revenue,net_income,operating_cash_flow,free_cash_flow,latest_quarter_revenue,latest_quarter_revenue_yoy_growth_pct,latest_quarter_profit,latest_quarter_profit_yoy_growth_pct,revenue_cagr_3y_pct,profit_cagr_3y_pct,dividend_yield,payout_ratio,last_dividend_amount,last_dividend_ex_date,next_earnings_date,beta,fifty_two_week_change,short_ratio,held_percent_insiders,held_percent_institutions,promoter_holding_pct,public_holding_pct,shareholding_as_of,analyst_recommendation,analyst_count,analyst_target_mean,analyst_target_high,analyst_target_low,recent_news,news_positive_signals,news_negative_signals,recent_corporate_announcements,fetched_at
TCS,NSE-TCS,TCS,NSE,INE467B01029,Technology,Information Technology Services,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cloud, SAP transformation with AI-powered smart solutions; ignio, a cognitive automation software product; TCS iON, a learning ecosystem; and TCS HOBS, a cloud-native, catalog-centric platform with composable architecture and insights-led personalization capabilities. It also offers TCS Intelligent Urban Exchange for enterprises and smart cities; TCS OmniStore, a retail commerce platform; TCS Optumera, a strategic intelligence platform; TCS Tap, a platform for intelligent procurement; Quartz, a distributed ledger technology; TCS TwinX, a risk-free experimentation platform; TCS MasterCraft, an AI-driven cognitive automation product; Jile, an enterprise agile planning and delivery tool; TCS DigiBOLT, an end-to-end, organization-wide enterprise platform; and TCS AI WisdomNext, an enterprise grade GenAI platform. In addition, the company provides AI, data and analytics, cloud, cognitive business, consulting, cybersecurity, enterprise solutions, industrial autonomy and engineering, network solutions and services, TCS interactive, and sustainability services. It serves banking; capital markets; consumer packaged goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high tech; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. The company operates as a subsidiary of Tata Sons Private Limited.",584519.0,"Mr. K.  Krithivasan B.E, M.Tech.",1968.0,,,,,,,,,,,,,,,,yfinance,2433.02,2410.27,2314.89,2202.57,2287.56,2612.54,2418.36,2390.27,2327.24,2271.24,2343.11,2546.48,True,False,False,65.1,neutral,74.61,64.48,10.14,bullish,2424.3,2473.6,2501.8,2551.1,2396.1,2346.8,2318.6,19.97,8.34,-16.69,-17.16,24.24,strongly bullish,12,2,,8259711795200,18.082212,15.057771,3.21,,8.071574,2.994,11.461,135.26,162.42776,303.014,0.47743,0.24479,0.40389,0.23963,0.26125,0.18052,0.139,0.046,0.046,10.211,2.276,2.045,2758590070784,497990008832,523459985408.0,397165002752.0,722750000000.0,12.09,133490000000.0,9.2,5.8,5.3,2.69,0.38509998,12.0,2026-07-15,2026-10-08,0.164,,,0.71795,0.17409,71.77,28.23,31-MAR-2026,buy,42.0,2484.6667,3655.0,1800.0,"abrdn Emerging Markets Ex-China Fund's Tata Consultancy Services Ltd(NSE:TCS) Holding History (GuruFocus, 2026-08-05) | Infosys, TCS stocks jump 2-3%, Nifty IT up over 2% as easing US Fed rate-hike fears boost tech stocks (Moneycontrol.com, 2026-07-27) | Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% (Business Standard, 2026-06-23) | TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus (Business Standard, 2026-07-09) | Nifty IT index gains 3.5% on Friday as TCS jumps 4% post Q1FY27 results (Business Standard, 2026-07-10)",3,0,04-Aug-2026 18:47:18: Analysts/Institutional Investor Meet/Con. Call Updates | 03-Aug-2026 17:46:43: Copy of Newspaper Publication | 27-Jul-2026 15:05:32: Analysts/Institutional Investor Meet/Con. Call Updates,2026-08-07T04:37:11.326217+00:00
INFY,NSE-INFY,Infosys,NSE,INE009A01021,Technology,Information Technology Services,"Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also provides digital supply chain, Microsoft business application services, Microsoft cloud business, Oracle, SAP, service experience transformation, Salesforce, energy transition, network transformation services, infrastructure services, global capability center, and Infosys Cobalt, a suite of services, solutions, and platforms. In addition, the company offers experience services, including digital marketing, digital commerce, digital interactions, digital workplace services, digital experience, metaverse, and Infosys Aster, a marketing suite; and EdgeVerve, Infosys Finacle, Infosys Live Enterprise Suite, Infosys Cortex, Infosys Meridian, Panaya, Infosys Equinox, Infosys Topaz Fabric, Infosys Wingspan, Infosys Helix, and Infosys Polycloud platforms. It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication services, consumer packaged goods, education, engineering procurement and construction, financial services, oil and gas, private equity, professional services, public sector, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life sciences, logistics and distribution, media, entertainment, mining, retail, semiconductor, travel and hospitality, utilities, and waste management industries. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",328062.0,Mr. Salil Satish Parekh,1981.0,,,,,,,,,,,,,,,,yfinance,1172.68,1148.91,1112.04,1103.24,1149.5,1319.08,1166.13,1148.06,1123.86,1118.43,1167.91,1265.49,True,False,False,66.26,neutral,24.59,14.48,10.11,bullish,1171.83,1188.07,1199.23,1215.47,1160.67,1144.43,1133.27,12.0,5.44,-20.91,-17.54,27.44,strongly bullish,12,2,4764970516480.0,4715691114496,15.346986,14.717482,2.1,234.73918,5.196415,232.312,1052.14,76.66,79.93895,226.4061,0.32,0.15297,0.29676,0.21173,0.2208,0.16370001,0.029,0.053,0.012,9.541,1.862,1.594,20298999808,3323000064,4092000000.0,3165625088.0,5082000000.0,2.85,819000000.0,1.24,3.44,3.58,4.26,0.64599997,25.0,2026-06-10,2026-10-23,0.107,,,0.19313,0.52842,14.38,85.38,31-MAR-2026,buy,42.0,1201.2858,1610.0,940.0,"Indian Stock Market Weekly Round-Up: Bears Take Charge as Nifty Slides 2% In Week, Financials Lead Decline (Goodreturns, 2026-08-06) | Infosys shares fall 2%, top Nifty loser after Q1 miss, guidance cut; brokerages remain largely cautious (Moneycontrol.com, 2026-07-24) | Infosys shares declines nearly 3 per cent after revised FY27 guidance (Telangana Today, 2026-07-24) | Infosys Shares Decline Nearly 3 Pc After Q1 Earnings (ETV Bharat, 2026-07-24) | Red Flags For IT: TCS, Infosys Drop 2% As Weak Guidance, High Valuations Spooks Investors (NDTV Profit, 2026-07-21)",0,6,06-Aug-2026 17:41:03: Updates | 05-Aug-2026 15:25:31: Updates | 04-Aug-2026 15:38:23: Copy of Newspaper Publication,2026-08-07T04:37:16.020002+00:00
RIIL,NSE-RIIL,Reliance Indl. Infra,NSE,INE046A01015,Industrials,Engineering & Construction,"Reliance Industrial Infrastructure Limited engages in the infrastructure and support services activities in India. The company is involved in setting up and operating industrial infrastructure; transportation of petroleum products, natural gas, and raw water through its pipelines; and other infrastructure support services. It primarily operates in Mumbai and the Rasayani regions of Maharashtra, as well as the Surat and Jamnagar belts of Gujarat. The company was formerly known as CPPL Limited and changed its name to Reliance Industrial Infrastructure Limited in March 1994. Reliance Industrial Infrastructure Limited is based in Mumbai, India.",,Mr. Vipin Chandra Sati,,,,,,,,,,,,,,,,,yfinance,752.84,743.57,756.29,786.11,763.23,775.71,753.83,751.35,758.87,771.11,772.01,791.45,False,False,True,42.01,neutral,-11.3,-14.34,3.05,bullish,761.58,765.92,770.83,775.17,756.67,752.33,747.42,-3.91,-0.32,4.47,-11.43,39.07,neutral,7,7,11491099648.0,8284319744,93.48894,91.57641,1.07,27.622835,2.4247408,19.914,-92.718,8.14,8.31,313.848,,,0.86106,-0.41204,-0.21478,0.29159,-0.307,-0.083,-0.084,,,,416000000,121300000,,,86400000.0,-30.82,28400000.0,-11.25,-12.61,-10.99,0.47,0.4353,3.5,2026-06-12,,0.113,,,0.47276002,0.00575,45.43,54.57,31-MAR-2026,none,,,,,,0,0,15-Jul-2026 16:28:37: Press Release | 15-Jul-2026 16:24:59: Outcome of Board Meeting | 30-Jun-2026 16:37:13: Trading Window,2026-08-07T04:37:19.492619+00:00
VISL,NSE-VISL,Vedanta Iron & Steel,NSE,INE1CLE01013,Basic Materials,Steel,"Vedanta Iron and Steel Limited engages in the exploration, mining, and processing of iron ore in India and West Africa. It produces steel, wire rods, TMT bars, billets, pig iron, ductile iron pipes, ferro-silicon, cement, and metallurgical coke. The company was founded in 1954 and is based in Panjim, India. Vedanta Iron and Steel Limited is a subsidiary of Vedanta Resources Limited.",,Mr. Pankaj Kumar Sharma,1954.0,,,,,,,,,,,,,,,,yfinance,35.53,33.13,33.15,,,,35.17,34.16,33.33,30.62,27.49,24.84,,,,62.76,neutral,1.11,0.84,0.27,bullish,35.84,36.19,36.58,36.93,35.45,35.1,34.71,8.36,,,,71.8,strongly bullish,11,0,139952783360.0,141245071360,,,,34.05177,-4.82996,34.366,,-6.6,,-7.41,,,1.05594,0.09917,0.0,0.64225,0.123,,,,,,4110000128,2759633920,,,36120000000.0,,1220000000.0,,,,,0.0,,,,,,,0.58387,0.13108,56.38,43.46,30-JUN-2026,none,,,,,"Vedanta Iron & Steel, two other recently-demerged Vedanta Group stocks fall up to 4.5% post-Q1 results (Moneycontrol.com, 2026-07-30) | Vedanta Iron & Steel, two other recently-demerged Vedanta Group stocks fall up to 4.5% post-Q1 results (IndiaIPO, 2026-07-30) | Trending Stocks Today, July 14, 2026: Kalyan Jewellers Rallies 4%, PC Jeweller Rebounds; Vodafone Idea, Vedanta Iron & Steel Slip (HDFC Sky, 2026-07-14) | Vedanta Iron & Steel zooms 10%, up 70% since listing; time to book profit? (Business Standard, 2026-06-30) | Multibagger Alert! Vedanta Iron and Steel share price soars 113% since listing - More upside ahead? (livemint.com, 2026-07-02)",4,3,04-Aug-2026 18:29:53: Analysts/Institutional Investor Meet/Con. Call Updates | 01-Aug-2026 18:12:57: Updates | 30-Jul-2026 22:56:06: Analysts/Institutional Investor Meet/Con. Call Updates,2026-08-07T04:37:22.939634+00:00
ADANIENSOL,NSE-ADANIENSOL,Adani Energy Solut.,NSE,INE931S01010,Utilities,Utilities - Independent Power Producers,"Adani Energy Solutions Limited, together with its subsidiaries, generates, transmits, and distributes power in India. It operates through the Transmission; Distribution; Smart Meter; Trading; and Others segments. The company is involved in the establishment, commission, setting up, operation, and maintenance of electric power transmission systems; development, ownership, and operation of transmission lines; trade of bullion and other commodities; and laying of optical ground wire fibers on transmission lines to telecom solutions to telecom companies, internet service providers, and long-distance communication operators. It also provides electricity meters to optimize real-time insights of electricity usage. The company was formerly known as Adani Transmission Limited and changed its name to Adani Energy Solutions Limited in July 2023. The company was incorporated in 2013 and is headquartered in Ahmedabad, India. Adani Energy Solutions Limited operates as a subsidiary of S.B. Adani Family Trust.",3514.0,Mr. Kandarp  Patel,2013.0,,,,,,,,,,,,,,,,yfinance,1636.26,1650.63,1675.64,1592.99,1418.49,1199.84,1635.48,1647.78,1647.69,1579.39,1448.7,1278.37,True,True,True,26.42,oversold,11.78,26.5,-14.73,bearish,1620.1,1634.2,1642.1,1656.2,1612.2,1598.1,1590.2,0.48,26.63,60.79,103.4,44.78,neutral,6,8,1988890984448.0,2424156717056,67.819016,44.981495,,6.525269,7.6831865,7.953,25.141,23.98,36.15487,211.67,,,0.43660998,0.24952,0.31635,0.095769994,0.424,1.241,1.242,194.5,,,304798302208,29191200768,,,97110800000.0,52.34,11490600000.0,77.56,27.69,22.02,,0.0,,,2026-10-29,0.679,,,0.7467,0.2143,72.73,27.27,31-MAR-2026,buy,9.0,1747.6666,2060.0,1434.0,,0,0,01-Aug-2026 12:39:49: Credit Rating- New | 30-Jul-2026 23:01:19: General Updates | 30-Jul-2026 22:13:31: General Updates,2026-08-07T04:37:26.521344+00:00
