trading_symbol,groww_symbol,company_name,exchange,isin,sector,industry,business_summary,employees,ceo_name,founded_year,last_price,average_price,day_open,day_high,day_low,previous_close,day_change,day_change_perc,bid_price,bid_quantity,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,volume,price_source,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,above_sma_50,above_sma_200,golden_cross,rsi_14,rsi_verdict,macd,macd_signal,macd_histogram,macd_verdict,pivot,resistance_1,resistance_2,resistance_3,support_1,support_2,support_3,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,annualized_volatility_pct,technical_summary,bullish_signal_count,bearish_signal_count,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,trailing_eps,forward_eps,book_value,roe,roa,gross_margin,operating_margin,ebitda_margin,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,total_revenue,net_income,operating_cash_flow,free_cash_flow,latest_quarter_revenue,latest_quarter_revenue_yoy_growth_pct,latest_quarter_profit,latest_quarter_profit_yoy_growth_pct,revenue_cagr_3y_pct,profit_cagr_3y_pct,dividend_yield,payout_ratio,last_dividend_amount,last_dividend_ex_date,next_earnings_date,beta,fifty_two_week_change,short_ratio,held_percent_insiders,held_percent_institutions,promoter_holding_pct,public_holding_pct,shareholding_as_of,analyst_recommendation,analyst_count,analyst_target_mean,analyst_target_high,analyst_target_low,recent_news,news_positive_signals,news_negative_signals,recent_corporate_announcements,fetched_at
TCS,NSE-TCS,TCS,NSE,INE467B01029,Technology,Information Technology Services,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cloud, SAP transformation with AI-powered smart solutions; ignio, a cognitive automation software product; TCS iON, a learning ecosystem; and TCS HOBS, a cloud-native, catalog-centric platform with composable architecture and insights-led personalization capabilities. It also offers TCS Intelligent Urban Exchange for enterprises and smart cities; TCS OmniStore, a retail commerce platform; TCS Optumera, a strategic intelligence platform; TCS Tap, a platform for intelligent procurement; Quartz, a distributed ledger technology; TCS TwinX, a risk-free experimentation platform; TCS MasterCraft, an AI-driven cognitive automation product; Jile, an enterprise agile planning and delivery tool; TCS DigiBOLT, an end-to-end, organization-wide enterprise platform; and TCS AI WisdomNext, an enterprise grade GenAI platform. In addition, the company provides AI, data and analytics, cloud, cognitive business, consulting, cybersecurity, enterprise solutions, industrial autonomy and engineering, network solutions and services, TCS interactive, and sustainability services. It serves banking; capital markets; consumer packaged goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high tech; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. The company operates as a subsidiary of Tata Sons Private Limited.",584519.0,"Mr. K.  Krithivasan B.E, M.Tech.",1968.0,,,,,,,,,,,,,,,,yfinance,2435.12,2381.3,2280.35,2197.2,2286.98,2617.41,2431.26,2384.86,2311.67,2260.93,2341.02,2549.28,True,False,False,70.8,overbought,81.02,59.54,21.48,bullish,2445.13,2460.27,2476.03,2491.17,2429.37,2414.23,2398.47,17.26,4.04,-22.76,-16.16,24.09,strongly bullish,12,2,,8574485397504,17.75494,15.049767,3.09,,8.067284,3.108,11.898,137.68,162.42776,303.014,0.47743,0.24479,0.40389,0.23963,0.26125,0.18052,0.139,0.046,0.046,10.211,2.276,2.045,2758590070784,497990008832,523459985408.0,397165002752.0,722750000000.0,12.09,133490000000.0,9.2,5.8,5.3,2.63,0.38509998,12.0,2026-07-15,2026-10-08,0.164,,,0.71795,0.17427,71.77,28.23,31-MAR-2026,buy,42.0,2481.0476,3655.0,1800.0,"Infosys, TCS stocks jump 2-3%, Nifty IT up over 2% as easing US Fed rate-hike fears boost tech stocks (Moneycontrol.com, 2026-07-27) | TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus (Business Standard, 2026-07-09) | TCS to Announce Q1 FY27 Financial Results on July 9, 2026 (scanx.trade, 2026-07-09) | Nifty IT index gains 3.5% on Friday as TCS jumps 4% post Q1FY27 results (Business Standard, 2026-07-10) | Nifty IT index slips 2%; TCS, Infosys, HCL Tech, LTM, Wipro down up to 3% (Business Standard, 2026-06-23)",3,2,04-Aug-2026 18:47:18: Analysts/Institutional Investor Meet/Con. Call Updates | 03-Aug-2026 17:46:43: Copy of Newspaper Publication | 27-Jul-2026 15:05:32: Analysts/Institutional Investor Meet/Con. Call Updates,2026-08-05T05:31:18.883656+00:00
INFY,NSE-INFY,Infosys,NSE,INE009A01021,Technology,Information Technology Services,"Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also provides digital supply chain, Microsoft business application services, Microsoft cloud business, Oracle, SAP, service experience transformation, Salesforce, energy transition, network transformation services, infrastructure services, global capability center, and Infosys Cobalt, a suite of services, solutions, and platforms. In addition, the company offers experience services, including digital marketing, digital commerce, digital interactions, digital workplace services, digital experience, metaverse, and Infosys Aster, a marketing suite; and EdgeVerve, Infosys Finacle, Infosys Live Enterprise Suite, Infosys Cortex, Infosys Meridian, Panaya, Infosys Equinox, Infosys Topaz Fabric, Infosys Wingspan, Infosys Helix, and Infosys Polycloud platforms. It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication services, consumer packaged goods, education, engineering procurement and construction, financial services, oil and gas, private equity, professional services, public sector, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life sciences, logistics and distribution, media, entertainment, mining, retail, semiconductor, travel and hospitality, utilities, and waste management industries. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",328062.0,Mr. Salil Satish Parekh,1981.0,,,,,,,,,,,,,,,,yfinance,1161.22,1123.49,1100.85,1101.82,1150.53,1321.36,1158.41,1136.35,1113.3,1114.02,1167.76,1267.14,True,False,False,66.36,neutral,21.74,9.19,12.55,bullish,1171.07,1179.83,1186.27,1195.03,1164.63,1155.87,1149.43,9.48,1.66,-27.61,-19.34,27.48,strongly bullish,12,2,4750794817536.0,4776436170752,15.131579,14.673697,2.1,234.04083,5.166139,235.304,1065.693,77.52,79.93895,227.05545,0.32,0.15297,0.29676,0.21173,0.2208,0.16370001,0.029,0.053,0.012,9.541,1.862,1.594,20298999808,3323000064,4092000000.0,3165625088.0,5082000000.0,2.85,819000000.0,1.24,3.44,3.58,4.42,0.64599997,25.0,2026-06-10,2026-10-23,0.107,,,0.19312,0.52733004,14.38,85.38,31-MAR-2026,buy,42.0,1201.2858,1610.0,940.0,"Infosys, ICICI Bank, Bharti Airtel lead NSE’s second day of closing auction amid expiry-day distortions (Moneycontrol.com, 2026-08-04) | Infosys Shares Decline Nearly 3 Pc After Q1 Earnings (ETV Bharat, 2026-07-24) | Infosys shares declines nearly 3 per cent after revised FY27 guidance (Telangana Today, 2026-07-24) | Red Flags For IT: TCS, Infosys Drop 2% As Weak Guidance, High Valuations Spooks Investors (NDTV Profit, 2026-07-21) | Infosys stock ratings downgraded: Brokerages turn cautious after Q1 miss, guidance cut; check target prices (IndiaIPO, 2026-07-24)",0,4,04-Aug-2026 15:38:23: Copy of Newspaper Publication | 04-Aug-2026 10:29:03: Updates | 30-Jul-2026 15:27:40: Updates,2026-08-05T05:31:23.658540+00:00
RIIL,NSE-RIIL,Reliance Indl. Infra,NSE,INE046A01015,Industrials,Engineering & Construction,"Reliance Industrial Infrastructure Limited engages in the infrastructure and support services activities in India. The company is involved in setting up and operating industrial infrastructure; transportation of petroleum products, natural gas, and raw water through its pipelines; and other infrastructure support services. It primarily operates in Mumbai and the Rasayani regions of Maharashtra, as well as the Surat and Jamnagar belts of Gujarat. The company was formerly known as CPPL Limited and changed its name to Reliance Industrial Infrastructure Limited in March 1994. Reliance Industrial Infrastructure Limited is based in Mumbai, India.",,Mr. Vipin Chandra Sati,,,,,,,,,,,,,,,,,yfinance,741.4,738.98,761.39,785.92,760.17,777.89,744.42,747.01,759.91,773.11,773.05,792.31,False,False,True,36.01,neutral,-16.02,-15.59,-0.43,bearish,751.33,754.62,757.23,760.52,748.72,745.43,742.82,-6.77,-5.77,6.96,-14.71,39.13,bearish,4,10,11355199488.0,8067635200,93.76558,90.49338,1.07,27.296152,2.3960643,19.393,-90.293,8.02,8.31,313.848,,,0.86106,-0.41204,-0.21478,0.29159,-0.307,-0.083,-0.084,,,,416000000,121300000,,,86400000.0,-30.82,28400000.0,-11.25,-12.61,-10.99,0.47,0.4353,3.5,2026-06-12,,0.113,,,0.47276002,0.00575,45.43,54.57,31-MAR-2026,none,,,,,,0,0,15-Jul-2026 16:28:37: Press Release | 15-Jul-2026 16:24:59: Outcome of Board Meeting | 30-Jun-2026 16:37:13: Trading Window,2026-08-05T05:31:26.957257+00:00
VISL,NSE-VISL,Vedanta Iron & Steel,NSE,INE1CLE01013,Basic Materials,Steel,"Vedanta Iron and Steel Limited engages in the exploration, mining, and processing of iron ore in India and West Africa. It produces steel, wire rods, TMT bars, billets, pig iron, ductile iron pipes, ferro-silicon, cement, and metallurgical coke. The company was founded in 1954 and is based in Panjim, India. Vedanta Iron and Steel Limited is a subsidiary of Vedanta Resources Limited.",,Mr. Pankaj Kumar Sharma,1954.0,,,,,,,,,,,,,,,,yfinance,33.64,32.03,32.91,,,,34.09,33.19,32.7,30.16,27.13,24.61,,,,55.15,neutral,0.79,0.7,0.09,bullish,35.8,36.89,38.05,39.14,34.64,33.55,32.39,-2.3,,,,73.08,strongly bullish,11,0,139757273088.0,139907006464,,,,34.0042,-4.823212,34.041,,-7.05,,-7.41,,,1.05594,0.09917,0.0,0.64225,0.123,,,,,,4110000128,2759633920,,,36120000000.0,,1220000000.0,,,,,0.0,,,,,,,0.58387,0.12898,56.38,43.46,30-JUN-2026,none,,,,,"Vedanta Iron & Steel Ltd (VISL) Share Price (Business Today, 2026-08-03) | Vedanta Iron & Steel, two other recently-demerged Vedanta Group stocks fall up to 4.5% post-Q1 results (Moneycontrol.com, 2026-07-30) | Vedanta Iron & Steel, two other recently-demerged Vedanta Group stocks fall up to 4.5% post-Q1 results (IndiaIPO, 2026-07-30) | Trending Stocks Today, July 14, 2026: Kalyan Jewellers Rallies 4%, PC Jeweller Rebounds; Vodafone Idea, Vedanta Iron & Steel Slip (HDFC Sky, 2026-07-14) | Vedanta Iron & Steel zooms 10%, up 70% since listing; time to book profit? (Business Standard, 2026-06-30)",3,2,04-Aug-2026 18:29:53: Analysts/Institutional Investor Meet/Con. Call Updates | 01-Aug-2026 18:12:57: Updates | 30-Jul-2026 22:56:06: Analysts/Institutional Investor Meet/Con. Call Updates,2026-08-05T05:31:29.964023+00:00
ADANIENSOL,NSE-ADANIENSOL,Adani Energy Solut.,NSE,INE931S01010,Utilities,Utilities - Independent Power Producers,"Adani Energy Solutions Limited, together with its subsidiaries, generates, transmits, and distributes power in India. It operates through the Transmission; Distribution; Smart Meter; Trading; and Others segments. The company is involved in the establishment, commission, setting up, operation, and maintenance of electric power transmission systems; development, ownership, and operation of transmission lines; trade of bullion and other commodities; and laying of optical ground wire fibers on transmission lines to telecom solutions to telecom companies, internet service providers, and long-distance communication operators. It also provides electricity meters to optimize real-time insights of electricity usage. The company was formerly known as Adani Transmission Limited and changed its name to Adani Energy Solutions Limited in July 2023. The company was incorporated in 2013 and is headquartered in Ahmedabad, India. Adani Energy Solutions Limited operates as a subsidiary of S.B. Adani Family Trust.",3514.0,Mr. Kandarp  Patel,2013.0,,,,,,,,,,,,,,,,yfinance,1647.6,1664.46,1676.88,1589.1,1405.9,1192.94,1649.63,1659.54,1652.96,1575.69,1441.56,1271.58,True,True,True,39.46,neutral,19.77,33.92,-14.16,bearish,1647.8,1656.6,1672.6,1681.4,1631.8,1623.0,1607.0,-0.63,21.2,68.37,102.94,44.82,neutral,6,8,2006379134976.0,2456591532032,67.37577,45.377014,,6.5826454,7.750744,8.06,25.477,24.35,36.15487,211.67,,,0.43660998,0.24952,0.31635,0.095769994,0.424,1.241,1.242,194.5,,,304798302208,29191200768,,,97110800000.0,52.34,11490600000.0,77.56,27.69,22.02,,0.0,,,2026-10-29,0.679,,,0.7467,0.21430999,72.73,27.27,31-MAR-2026,buy,9.0,1747.6666,2060.0,1434.0,"NHPC Share Price Today Live NSE/BSE - Stock Price, News and Chart Updates 4 August 2026 (ET Now, 2026-07-31) | Veefin Solutions: BSE மெயின் போர்டு, NSE லிஸ்டிங்கிற்கு அனுமதி! (Whalesbook, 2026-07-23)",0,0,01-Aug-2026 12:39:49: Credit Rating- New | 30-Jul-2026 23:01:19: General Updates | 30-Jul-2026 22:13:31: General Updates,2026-08-05T05:31:33.085772+00:00
