trading_symbol,groww_symbol,company_name,exchange,isin,sector,industry,business_summary,employees,ceo_name,founded_year,last_price,average_price,day_open,day_high,day_low,previous_close,day_change,day_change_perc,bid_price,bid_quantity,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,volume,price_source,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,above_sma_50,above_sma_200,golden_cross,rsi_14,rsi_verdict,macd,macd_signal,macd_histogram,macd_verdict,pivot,resistance_1,resistance_2,resistance_3,support_1,support_2,support_3,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,annualized_volatility_pct,technical_summary,bullish_signal_count,bearish_signal_count,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,trailing_eps,forward_eps,book_value,roe,roa,gross_margin,operating_margin,ebitda_margin,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,total_revenue,net_income,operating_cash_flow,free_cash_flow,latest_quarter_revenue,latest_quarter_revenue_yoy_growth_pct,latest_quarter_profit,latest_quarter_profit_yoy_growth_pct,revenue_cagr_3y_pct,profit_cagr_3y_pct,dividend_yield,payout_ratio,last_dividend_amount,last_dividend_ex_date,next_earnings_date,beta,fifty_two_week_change,short_ratio,held_percent_insiders,held_percent_institutions,promoter_holding_pct,public_holding_pct,shareholding_as_of,analyst_recommendation,analyst_count,analyst_target_mean,analyst_target_high,analyst_target_low,recent_news,news_positive_signals,news_negative_signals,recent_corporate_announcements,fetched_at
TCS,NSE-TCS,TCS,NSE,INE467B01029,Technology,Information Technology Services,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cloud, SAP transformation with AI-powered smart solutions; ignio, a cognitive automation software product; TCS iON, a learning ecosystem; and TCS HOBS, a cloud-native, catalog-centric platform with composable architecture and insights-led personalization capabilities. It also offers TCS Intelligent Urban Exchange for enterprises and smart cities; TCS OmniStore, a retail commerce platform; TCS Optumera, a strategic intelligence platform; TCS Tap, a platform for intelligent procurement; Quartz, a distributed ledger technology; TCS TwinX, a risk-free experimentation platform; TCS MasterCraft, an AI-driven cognitive automation product; Jile, an enterprise agile planning and delivery tool; TCS DigiBOLT, an end-to-end, organization-wide enterprise platform; and TCS AI WisdomNext, an enterprise grade GenAI platform. In addition, the company provides AI, data and analytics, cloud, cognitive business, consulting, cybersecurity, enterprise solutions, industrial autonomy and engineering, network solutions and services, TCS interactive, and sustainability services. It serves banking; capital markets; consumer packaged goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high tech; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. The company operates as a subsidiary of Tata Sons Private Limited.",584519.0,"Mr. K.  Krithivasan B.E, M.Tech.",1968.0,,,,,,,,,,,,,,,,yfinance,2233.02,2197.12,2124.39,2173.6,2295.94,2639.09,2215.06,2192.28,2164.78,2198.53,2328.94,2564.28,True,False,False,65.93,neutral,21.04,1.77,19.26,bullish,2210.27,2226.93,2238.27,2254.93,2198.93,2182.27,2170.93,5.63,-7.75,-27.22,-27.66,23.63,bullish,9,5,8015510503424,7663812870144.0,16.08743,13.658102,2.9,2.905655,7.311213,2.778,10.634,137.71,162.20409,303.014,0.47743,0.24479,0.40389,0.23963,0.26125,0.18052,0.139,0.046,0.046,10.211,2.276,2.045,2758590070784.0,497990008832,523459985408.0,397165002752.0,722750000000.0,12.09,133490000000.0,9.2,5.8,5.3,2.93,0.38509998,12.0,2026-07-15,2026-10-08,0.241,,,0.71795,0.17538,71.77,28.23,31-MAR-2026,buy,42.0,2481.0476,3655.0,1800.0,"TCS shares rise 2.35% on NSE amid strong AI, deal momentum (MSN, 2026-07-17) | TCS to Announce Q1 FY27 Financial Results on July 9, 2026 (scanx.trade, 2026-07-09) | TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus (Business Standard, 2026-07-09) | Nifty IT slumps 6%, Infosys, TCS stocks crash up to 8% as Accenture guidance cut sparks sell-off (Moneycontrol.com, 2026-06-19) | TCS share price falls 2% ahead of Q1 results 2026. Should you buy or sell? (livemint.com, 2026-07-09)",1,4,22-Jul-2026 16:33:09: Updates | 16-Jul-2026 11:30:08: Updates | 15-Jul-2026 19:37:13: Analysts/Institutional Investor Meet/Con. Call Updates,2026-07-23T05:40:05.963068+00:00
INFY,NSE-INFY,Infosys,NSE,INE009A01021,Technology,Information Technology Services,"Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also provides digital supply chain, Microsoft business application services, Microsoft cloud business, Oracle, SAP, service experience transformation, Salesforce, energy transition, network transformation services, infrastructure services, global capability center, and Infosys Cobalt, a suite of services, solutions, and platforms. In addition, the company offers experience services, including digital marketing, digital commerce, digital interactions, digital workplace services, digital experience, metaverse, and Infosys Aster, a marketing suite; and EdgeVerve, Infosys Finacle, Infosys Live Enterprise Suite, Infosys Cortex, Infosys Meridian, Panaya, Infosys Equinox, Infosys Topaz Fabric, Infosys Wingspan, Infosys Helix, and Infosys Polycloud platforms. It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication services, consumer packaged goods, education, engineering procurement and construction, financial services, oil and gas, private equity, professional services, public sector, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life sciences, logistics and distribution, media, entertainment, mining, retail, semiconductor, travel and hospitality, utilities, and waste management industries. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",328594.0,Mr. Salil Satish Parekh,1981.0,,,,,,,,,,,,,,,,yfinance,1071.06,1077.75,1058.16,1103.67,1162.81,1334.92,1063.3,1068.18,1071.85,1104.47,1174.41,1280.36,False,False,False,49.73,neutral,-7.91,-10.0,2.1,bullish,1042.1,1052.2,1058.3,1068.4,1036.0,1025.9,1019.8,-0.99,-8.68,-35.58,-31.59,27.1,strongly bearish,1,13,4235583553536,4255101485056.0,14.144132,12.834313,2.01,210.11925,4.4868083,211.087,960.953,73.96,81.50806,233.15013,0.31439,0.15093,0.29517,0.20928,0.21966,0.16434999,0.066,0.118,0.132,9.827,1.978,1.716,20157999104.0,3312999936,4039000064.0,3170249984.0,5040000000.0,6.55,919000000.0,13.04,3.44,3.58,4.66,0.6465,25.0,2026-06-10,2026-07-23,0.131,,,0.16354999,0.51509,14.38,85.38,31-MAR-2026,buy,40.0,1325.7,1800.0,950.0,"Red Flags For IT: TCS, Infosys Drop 2% As Weak Guidance, High Valuations Spooks Investors (NDTV Profit, 2026-07-21) | Infosys Stock Leads 3 Founder Backed Indian Companies Worth Watching (simplywall.st, 2026-06-27) | Nifty IT falls nearly 3%; Infosys, TCS, Wipro among top losers as US rate fear, AI disruption weigh on... (Moneycontrol.com, 2026-06-30) | Mphasis, Persistent Systems, Infosys power IT rally; NIFTY IT index jumps over 3.5% (Upstox, 2026-07-01) | INFY Forecast — Price Target — Prediction for 2027 (TradingView, 2026-06-25)",3,2,22-Jul-2026 12:20:46: Updates | 21-Jul-2026 15:36:37: Updates | 14-Jul-2026 20:54:14: Updates,2026-07-23T05:40:10.476328+00:00
RIIL,NSE-RIIL,Reliance Indl. Infra,NSE,INE046A01015,Industrials,Engineering & Construction,"Reliance Industrial Infrastructure Limited engages in the infrastructure and support services activities in India. The company is involved in setting up and operating industrial infrastructure; transportation of petroleum products, natural gas, and raw water through its pipelines; and other infrastructure support services. It primarily operates in Mumbai and the Rasayani regions of Maharashtra, as well as the Surat and Jamnagar belts of Gujarat. The company was formerly known as CPPL Limited and changed its name to Reliance Industrial Infrastructure Limited in March 1994. Reliance Industrial Infrastructure Limited is based in Mumbai, India.",,Mr. Vipin Chandra Sati,,,,,,,,,,,,,,,,,yfinance,771.49,780.55,798.38,788.05,755.43,785.48,768.26,778.95,790.2,788.19,779.96,798.0,False,False,True,19.77,oversold,-10.05,-3.59,-6.46,bearish,747.05,755.55,761.4,769.9,741.2,732.7,726.85,-12.42,-2.3,2.3,-21.69,39.42,strongly bearish,0,14,11320470528,8081225216.0,93.13043,90.216606,1.07,27.21267,2.388736,19.426,-90.445,8.05,8.31,313.848,,,0.86106,-0.41204,-0.21478,0.29159,-0.307,-0.083,-0.084,,,,416000000.0,121300000,,,86400000.0,-30.82,28400000.0,-11.25,-12.61,-10.99,0.46,0.4353,3.5,2026-06-12,,0.116,,,0.47276002,0.00712,45.43,54.57,31-MAR-2026,none,,,,,,0,0,15-Jul-2026 16:28:37: Press Release | 15-Jul-2026 16:24:59: Outcome of Board Meeting | 30-Jun-2026 16:37:13: Trading Window,2026-07-23T05:40:14.430445+00:00
VISL,NSE-VISL,Vedanta Iron & Steel,NSE,INE1CLE01013,Basic Materials,Steel,"Vedanta Iron and Steel Limited engages in the exploration, mining, and processing of iron ore in India and West Africa. It produces steel, wire rods, TMT bars, billets, pig iron, ductile iron pipes, ferro-silicon, cement, and metallurgical coke. The company was founded in 1954 and is based in Panjim, India. Vedanta Iron and Steel Limited is a subsidiary of Vedanta Resources Limited.",,Mr. Pankaj Kumar Sharma,1954.0,,,,,,,,,,,,,,,,yfinance,32.49,33.65,35.0,,,,32.4,33.18,32.79,29.23,26.13,23.91,,,,25.99,oversold,,,,,31.54,32.17,32.72,33.35,30.99,30.36,29.81,7.55,,,,79.34,bearish,3,7,123685568512,,,,,,-4.268556,,,-7.15,,-7.41,,-1.1127601,0.0,0.0,0.0,0.0,,,,,0.194,0.194,,-366000,-242000.0,-97875.0,,,,,,,,0.0,,,,,,,0.58387,0.09644,56.38,43.46,30-JUN-2026,none,,,,,"Vedanta Iron & Steel zooms 10%, up 70% since listing; time to book profit? (Business Standard, 2026-06-30) | Multibagger Alert! Vedanta Iron and Steel share price soars 113% since listing - More upside ahead? (livemint.com, 2026-07-02) | SEBI Vedanta listing: Goa Congress seeks pause on VISL over Rs 16,500 crore Goa mining liability (Goodreturns, 2026-07-19) | Vedanta Iron & Steel Hits 10% Upper Circuit, Extends Rally To 12th Session; Stock More Than Doubles Since Listing (HDFC Sky, 2026-07-02) | Vedanta Aluminium, Vedanta Iron & Steel: Vedanta Group firms post Q1 updates; key metrics to track (Upstox, 2026-07-06)",3,0,"18-Jul-2026 16:23:38: Agreements | 08-Jul-2026 11:41:44: Certificate under SEBI (Depositories and Participants) Regulations, 2018 | 03-Jul-2026 21:43:42: Updates",2026-07-23T05:40:17.859930+00:00
ADANIENSOL,NSE-ADANIENSOL,Adani Energy Solut.,NSE,INE931S01010,Utilities,Utilities - Independent Power Producers,"Adani Energy Solutions Limited, together with its subsidiaries, generates, transmits, and distributes power in India. It operates through the Transmission; Distribution; Smart Meter; Trading; and Others segments. The company is involved in the establishment, commission, setting up, operation, and maintenance of electric power transmission systems; development, ownership, and operation of transmission lines; trade of bullion and other commodities; and laying of optical ground wire fibers on transmission lines to telecom solutions to telecom companies, internet service providers, and long-distance communication operators. It also provides electricity meters to optimize real-time insights of electricity usage. The company was formerly known as Adani Transmission Limited and changed its name to Adani Energy Solutions Limited in July 2023. The company was incorporated in 2013 and is headquartered in Ahmedabad, India. Adani Energy Solutions Limited operates as a subsidiary of S.B. Adani Family Trust.",3514.0,Mr. Kandarp  Patel,2013.0,,,,,,,,,,,,,,,,yfinance,1728.1,1699.69,1633.87,1539.17,1345.84,1160.23,1719.58,1696.5,1649.82,1540.5,1398.97,1234.27,True,True,True,74.82,overbought,60.58,55.93,4.66,bullish,1709.83,1742.57,1762.73,1795.47,1689.67,1656.93,1636.77,15.14,19.96,94.51,98.13,46.17,strongly bullish,13,1,2069089353728,2570232791040.0,71.85649,53.191494,,7.499953,8.137195,9.316,28.409,23.97,32.38112,211.67,0.096599996,0.053379998,0.45397,0.22225,0.32794,0.08274,0.168,0.035,0.057,194.5,1.154,0.7,275880312832.0,22825400320,109966802944.0,-121189285888.0,97110800000.0,52.34,11490600000.0,77.56,27.69,22.02,,0.0,,,2026-07-21,0.841,,,0.74035,0.22004999,72.73,27.27,31-MAR-2026,buy,9.0,1657.6666,1968.0,1434.0,,0,0,22-Jul-2026 20:01:17: Analysts/Institutional Investor Meet/Con. Call Updates | 21-Jul-2026 21:50:14: General Updates | 21-Jul-2026 18:51:34: Press Release,2026-07-23T05:40:21.342167+00:00
