trading_symbol,groww_symbol,company_name,exchange,isin,sector,industry,business_summary,employees,ceo_name,founded_year,last_price,average_price,day_open,day_high,day_low,previous_close,day_change,day_change_perc,bid_price,bid_quantity,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,volume,price_source,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,above_sma_50,above_sma_200,golden_cross,rsi_14,rsi_verdict,macd,macd_signal,macd_histogram,macd_verdict,pivot,resistance_1,resistance_2,resistance_3,support_1,support_2,support_3,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,annualized_volatility_pct,technical_summary,bullish_signal_count,bearish_signal_count,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,trailing_eps,forward_eps,book_value,roe,roa,gross_margin,operating_margin,ebitda_margin,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,total_revenue,net_income,operating_cash_flow,free_cash_flow,latest_quarter_revenue,latest_quarter_revenue_yoy_growth_pct,latest_quarter_profit,latest_quarter_profit_yoy_growth_pct,revenue_cagr_3y_pct,profit_cagr_3y_pct,dividend_yield,payout_ratio,last_dividend_amount,last_dividend_ex_date,next_earnings_date,beta,fifty_two_week_change,short_ratio,held_percent_insiders,held_percent_institutions,promoter_holding_pct,public_holding_pct,shareholding_as_of,analyst_recommendation,analyst_count,analyst_target_mean,analyst_target_high,analyst_target_low,recent_news,news_positive_signals,news_negative_signals,recent_corporate_announcements,fetched_at
TCS,NSE-TCS,TCS,NSE,INE467B01029,Technology,Information Technology Services,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cloud, SAP transformation with AI-powered smart solutions; ignio, a cognitive automation software product; TCS iON, a learning ecosystem; and TCS HOBS, a cloud-native, catalog-centric platform with composable architecture and insights-led personalization capabilities. It also offers TCS Intelligent Urban Exchange for enterprises and smart cities; TCS OmniStore, a retail commerce platform; TCS Optumera, a strategic intelligence platform; TCS Tap, a platform for intelligent procurement; Quartz, a distributed ledger technology; TCS TwinX, a risk-free experimentation platform; TCS MasterCraft, an AI-driven cognitive automation product; Jile, an enterprise agile planning and delivery tool; TCS DigiBOLT, an end-to-end, organization-wide enterprise platform; and TCS AI WisdomNext, an enterprise grade GenAI platform. In addition, the company provides AI, data and analytics, cloud, cognitive business, consulting, cybersecurity, enterprise solutions, industrial autonomy and engineering, network solutions and services, TCS interactive, and sustainability services. It serves banking; capital markets; consumer packaged goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high tech; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. The company operates as a subsidiary of Tata Sons Private Limited.",584519.0,"Mr. K.  Krithivasan B.E, M.Tech.",1968.0,,,,,,,,,,,,,,,,yfinance,2280.26,2253.27,2163.75,2178.24,2288.8,2630.82,2303.18,2255.72,2207.38,2213.07,2328.79,2557.73,True,False,False,86.02,overbought,45.09,18.79,26.3,bullish,2376.03,2429.07,2457.93,2510.97,2347.17,2294.13,2265.27,15.04,-1.12,-22.65,-21.37,23.93,strongly bullish,12,2,8684133416960,7979671748608.0,17.112505,14.797407,2.95,3.1480334,7.921086,2.893,11.072,140.26,162.20409,303.014,0.47743,0.24479,0.40389,0.23963,0.26125,0.18052,0.139,0.046,0.046,10.211,2.276,2.045,2758590070784.0,497990008832,523459985408.0,397165002752.0,722750000000.0,12.09,133490000000.0,9.2,5.8,5.3,2.88,0.38509998,12.0,2026-07-15,2026-10-08,0.241,,,0.71795,0.17537001,71.77,28.23,31-MAR-2026,buy,42.0,2481.0476,3655.0,1800.0,"Infosys, TCS stocks jump 2-3%, Nifty IT up over 2% as easing US Fed rate-hike fears boost tech stocks (Moneycontrol.com, 2026-07-27) | TCS shares rise 2.35% on NSE amid strong AI, deal momentum (MSN, 2026-07-17) | Tata Consultancy Services Limited (NSE:TCS) Just Reported Earnings, And Analysts Cut Their Target Price (simplywall.st, 2026-07-13) | TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus (Business Standard, 2026-07-09) | TCS to Announce Q1 FY27 Financial Results on July 9, 2026 (scanx.trade, 2026-07-09)",1,2,27-Jul-2026 15:05:32: Analysts/Institutional Investor Meet/Con. Call Updates | 22-Jul-2026 16:33:09: Updates | 16-Jul-2026 11:30:08: Updates,2026-07-28T05:31:56.363063+00:00
INFY,NSE-INFY,Infosys,NSE,INE009A01021,Technology,Information Technology Services,"Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also provides digital supply chain, Microsoft business application services, Microsoft cloud business, Oracle, SAP, service experience transformation, Salesforce, energy transition, network transformation services, infrastructure services, global capability center, and Infosys Cobalt, a suite of services, solutions, and platforms. In addition, the company offers experience services, including digital marketing, digital commerce, digital interactions, digital workplace services, digital experience, metaverse, and Infosys Aster, a marketing suite; and EdgeVerve, Infosys Finacle, Infosys Live Enterprise Suite, Infosys Cortex, Infosys Meridian, Panaya, Infosys Equinox, Infosys Topaz Fabric, Infosys Wingspan, Infosys Helix, and Infosys Polycloud platforms. It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication services, consumer packaged goods, education, engineering procurement and construction, financial services, oil and gas, private equity, professional services, public sector, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life sciences, logistics and distribution, media, entertainment, mining, retail, semiconductor, travel and hospitality, utilities, and waste management industries. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",328062.0,Mr. Salil Satish Parekh,1981.0,,,,,,,,,,,,,,,,yfinance,1065.38,1074.27,1065.69,1100.54,1156.95,1329.71,1078.31,1073.74,1073.54,1101.37,1168.72,1274.55,True,False,False,57.96,neutral,-3.78,-8.29,4.5,bullish,1106.7,1116.4,1125.5,1135.2,1097.6,1087.9,1078.8,6.81,-4.28,-32.29,-27.05,27.24,bullish,10,4,4484701880320,4368231825408.0,13.661937,13.851821,1.91,220.93216,4.7493005,215.194,974.617,81.05,79.93895,233.15013,0.32,0.15297,0.29676,0.21173,0.2208,0.16370001,0.029,0.053,0.012,9.541,1.862,1.594,20298999808.0,3323000064,4092000000.0,3165625088.0,5082000000.0,2.85,819000000.0,1.24,3.44,3.58,4.8,0.64599997,25.0,2026-06-10,2026-10-23,0.131,,,0.16354999,0.51517,14.38,85.38,31-MAR-2026,buy,42.0,1212.119,1610.0,940.0,"Infosys Limited (INFY.NS) Stock Price, News, Quote & History (Yahoo! Finance Canada, 2026-07-25) | Infosys (NSE:INFY) Shares Gain 3.7% Despite Guidance Cut, Lifted by Sector Rebalancing (TechStock², 2026-07-27) | Infosys, IndiGo, Tata Consumer among buzzing stocks as SENSEX jumps over 700 pts, NIFTY gains 0.8% (Upstox, 2026-07-27) | Infosys shares fall 2%, top Nifty loser after Q1 miss, guidance cut; brokerages remain largely cautious (Moneycontrol.com, 2026-07-24) | Infosys Shares Decline Nearly 3 Pc After Q1 Earnings (ETV Bharat, 2026-07-24)",2,4,28-Jul-2026 09:52:09: Updates | 25-Jul-2026 19:30:26: Updates | 24-Jul-2026 19:30:41: Copy of Newspaper Publication,2026-07-28T05:32:00.043310+00:00
RIIL,NSE-RIIL,Reliance Indl. Infra,NSE,INE046A01015,Industrials,Engineering & Construction,"Reliance Industrial Infrastructure Limited engages in the infrastructure and support services activities in India. The company is involved in setting up and operating industrial infrastructure; transportation of petroleum products, natural gas, and raw water through its pipelines; and other infrastructure support services. It primarily operates in Mumbai and the Rasayani regions of Maharashtra, as well as the Surat and Jamnagar belts of Gujarat. The company was formerly known as CPPL Limited and changed its name to Reliance Industrial Infrastructure Limited in March 1994. Reliance Industrial Infrastructure Limited is based in Mumbai, India.",,Mr. Vipin Chandra Sati,,,,,,,,,,,,,,,,,yfinance,743.38,762.6,783.31,787.03,756.59,783.08,743.24,758.25,775.47,782.01,777.26,796.28,False,False,True,16.57,oversold,-17.23,-9.38,-7.85,bearish,731.78,736.37,741.53,746.12,726.62,722.03,716.87,-12.29,-7.99,4.11,-22.05,39.44,strongly bearish,0,14,11041120256,7906820096.0,91.05853,87.99037,1.07,26.541155,2.3297904,19.007,-88.493,8.03,8.31,313.848,,,0.86106,-0.41204,-0.21478,0.29159,-0.307,-0.083,-0.084,,,,416000000.0,121300000,,,86400000.0,-30.82,28400000.0,-11.25,-12.61,-10.99,0.48,0.4353,3.5,2026-06-12,,0.116,,,0.47276002,0.00712,45.43,54.57,31-MAR-2026,none,,,,,,0,0,15-Jul-2026 16:28:37: Press Release | 15-Jul-2026 16:24:59: Outcome of Board Meeting | 30-Jun-2026 16:37:13: Trading Window,2026-07-28T05:32:03.333604+00:00
VISL,NSE-VISL,Vedanta Iron & Steel,NSE,INE1CLE01013,Basic Materials,Steel,"Vedanta Iron and Steel Limited engages in the exploration, mining, and processing of iron ore in India and West Africa. It produces steel, wire rods, TMT bars, billets, pig iron, ductile iron pipes, ferro-silicon, cement, and metallurgical coke. The company was founded in 1954 and is based in Panjim, India. Vedanta Iron and Steel Limited is a subsidiary of Vedanta Resources Limited.",,Mr. Pankaj Kumar Sharma,1954.0,,,,,,,,,,,,,,,,yfinance,30.58,32.02,34.56,,,,30.68,31.73,32.06,29.31,26.36,24.08,,,,32.19,neutral,,,,,29.96,30.32,30.96,31.32,29.32,28.96,28.32,-8.45,,,,77.18,bearish,3,7,116060315648,,,,,,-4.0053983,,,-7.43,,-7.41,,-1.1127601,0.0,0.0,0.0,0.0,,,,,0.194,0.194,,-366000,-242000.0,-97875.0,,,,,,,,0.0,,,,,,,0.58387,0.09641,56.38,43.46,30-JUN-2026,none,,,,,"Vedanta Demerger (15-06-2026): Vedanta & Vedanta Power Drop 2%; Vedanta Aluminium & Vedanta Oil At 5% LC (Goodreturns, 2026-07-24) | Vedanta Iron & Steel Hits Fresh Record High, Extends Post-Listing Rally; Other Vedanta Stocks Gain (India Infoline, 2026-07-02) | Multibagger Alert! Vedanta Iron and Steel share price soars 113% since listing - More upside ahead? (livemint.com, 2026-07-02) | Vedanta Iron & Steel zooms 10%, up 70% since listing; time to book profit? (Business Standard, 2026-06-30) | Vedanta Iron & Steel Hits Fresh Circuit: 3 Triggers Behind the 93% Rally (NiftyTrader, 2026-07-01)",5,1,24-Jul-2026 19:17:35: Trading Window | 24-Jul-2026 18:43:44: Analysts/Institutional Investor Meet/Con. Call Updates | 24-Jul-2026 18:09:09: Trading Window,2026-07-28T05:32:06.284325+00:00
ADANIENSOL,NSE-ADANIENSOL,Adani Energy Solut.,NSE,INE931S01010,Utilities,Utilities - Independent Power Producers,"Adani Energy Solutions Limited, together with its subsidiaries, generates, transmits, and distributes power in India. It operates through the Transmission; Distribution; Smart Meter; Trading; and Others segments. The company is involved in the establishment, commission, setting up, operation, and maintenance of electric power transmission systems; development, ownership, and operation of transmission lines; trade of bullion and other commodities; and laying of optical ground wire fibers on transmission lines to telecom solutions to telecom companies, internet service providers, and long-distance communication operators. It also provides electricity meters to optimize real-time insights of electricity usage. The company was formerly known as Adani Transmission Limited and changed its name to Adani Energy Solutions Limited in July 2023. The company was incorporated in 2013 and is headquartered in Ahmedabad, India. Adani Energy Solutions Limited operates as a subsidiary of S.B. Adani Family Trust.",3514.0,Mr. Kandarp  Patel,2013.0,,,,,,,,,,,,,,,,yfinance,1704.56,1703.27,1650.88,1553.22,1359.34,1167.67,1693.74,1687.98,1653.32,1550.3,1409.51,1243.04,True,True,True,53.14,neutral,49.86,54.17,-4.3,bearish,1665.6,1706.2,1741.6,1782.2,1630.2,1589.6,1554.2,10.81,17.82,80.67,92.67,46.3,bullish,9,5,2007103176704,2524223635456.0,68.64421,46.21231,,6.585021,7.8934193,8.282,26.179,24.34,36.15487,211.67,,,0.43660998,0.24952,0.31635,0.095769994,0.424,1.241,1.242,194.5,,,304798302208.0,29191200768,,,97110800000.0,52.34,11490600000.0,77.56,27.69,22.02,,0.0,,,2026-07-21,0.841,,,0.76017,0.18236,72.73,27.27,31-MAR-2026,buy,9.0,1747.6666,2060.0,1434.0,"Veefin Solutions: शेयरहोल्डर्स की मंजूरी मिली, अब BSE मेन बोर्ड और NSE पर होगी लिस्टिंग! (Whalesbook, 2026-07-23) | Power Grid Corp Share Price Today Live NSE/BSE - Stock Price, News and Chart Updates 23 July 2026 (ET Now, 2026-07-20)",0,0,27-Jul-2026 17:53:28: General Updates | 25-Jul-2026 15:47:28: Shareholders meeting | 24-Jul-2026 14:23:05: Press Release,2026-07-28T05:32:09.284869+00:00
