trading_symbol,groww_symbol,company_name,exchange,isin,sector,industry,business_summary,employees,ceo_name,founded_year,last_price,average_price,day_open,day_high,day_low,previous_close,day_change,day_change_perc,bid_price,bid_quantity,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,volume,price_source,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,above_sma_50,above_sma_200,golden_cross,rsi_14,rsi_verdict,macd,macd_signal,macd_histogram,macd_verdict,pivot,resistance_1,resistance_2,resistance_3,support_1,support_2,support_3,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,annualized_volatility_pct,technical_summary,bullish_signal_count,bearish_signal_count,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,trailing_eps,forward_eps,book_value,roe,roa,gross_margin,operating_margin,ebitda_margin,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,total_revenue,net_income,operating_cash_flow,free_cash_flow,latest_quarter_revenue,latest_quarter_revenue_yoy_growth_pct,latest_quarter_profit,latest_quarter_profit_yoy_growth_pct,revenue_cagr_3y_pct,profit_cagr_3y_pct,dividend_yield,payout_ratio,last_dividend_amount,last_dividend_ex_date,next_earnings_date,beta,fifty_two_week_change,short_ratio,held_percent_insiders,held_percent_institutions,promoter_holding_pct,public_holding_pct,shareholding_as_of,analyst_recommendation,analyst_count,analyst_target_mean,analyst_target_high,analyst_target_low,recent_news,news_positive_signals,news_negative_signals,recent_corporate_announcements,fetched_at
TCS,NSE-TCS,TCS,NSE,INE467B01029,Technology,Information Technology Services,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cloud, SAP transformation with AI-powered smart solutions; ignio, a cognitive automation software product; TCS iON, a learning ecosystem; and TCS HOBS, a cloud-native, catalog-centric platform with composable architecture and insights-led personalization capabilities. It also offers TCS Intelligent Urban Exchange for enterprises and smart cities; TCS OmniStore, a retail commerce platform; TCS Optumera, a strategic intelligence platform; TCS Tap, a platform for intelligent procurement; Quartz, a distributed ledger technology; TCS TwinX, a risk-free experimentation platform; TCS MasterCraft, an AI-driven cognitive automation product; Jile, an enterprise agile planning and delivery tool; TCS DigiBOLT, an end-to-end, organization-wide enterprise platform; and TCS AI WisdomNext, an enterprise grade GenAI platform. In addition, the company provides AI, data and analytics, cloud, cognitive business, consulting, cybersecurity, enterprise solutions, industrial autonomy and engineering, network solutions and services, TCS interactive, and sustainability services. It serves banking; capital markets; consumer packaged goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high tech; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. The company operates as a subsidiary of Tata Sons Private Limited.",584519.0,"Mr. K.  Krithivasan B.E, M.Tech.",1968.0,,,,,,,,,,,,,,,,yfinance,2231.06,2217.27,2133.18,2174.35,2292.65,2636.04,2226.74,2203.54,2173.52,2200.87,2327.55,2561.26,True,False,False,72.0,overbought,25.0,6.77,18.24,bullish,2233.77,2262.43,2292.97,2321.63,2203.23,2174.57,2144.03,7.13,-6.96,-27.16,-26.4,23.66,bullish,10,4,8075571363840,7788998688768.0,15.973664,13.760443,2.9,,7.365996,2.824,10.808,139.73,162.20409,303.014,0.47743,0.24479,0.40389,0.23963,0.26125,0.18052,0.139,0.046,0.046,10.211,2.276,2.045,2758590070784.0,497990008832,523459985408.0,397165002752.0,722750000000.0,12.09,133490000000.0,9.2,5.8,5.3,2.94,0.38509998,12.0,2026-07-15,2026-10-08,0.241,,,0.71795,0.17537001,71.77,28.23,31-MAR-2026,buy,42.0,2481.0476,3655.0,1800.0,"TCS shares rise 2.35% on NSE amid strong AI, deal momentum (MSN, 2026-07-17) | TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus (Business Standard, 2026-07-09) | TCS to Announce Q1 FY27 Financial Results on July 9, 2026 (scanx.trade, 2026-07-09) | Nifty IT slumps 6%, Infosys, TCS stocks crash up to 8% as Accenture guidance cut sparks sell-off (Moneycontrol.com, 2026-06-19) | TCS share price falls 2% ahead of Q1 results 2026. Should you buy or sell? (livemint.com, 2026-07-09)",1,4,22-Jul-2026 16:33:09: Updates | 16-Jul-2026 11:30:08: Updates | 15-Jul-2026 19:37:13: Analysts/Institutional Investor Meet/Con. Call Updates,2026-07-24T05:36:37.028949+00:00
INFY,NSE-INFY,Infosys,NSE,INE009A01021,Technology,Information Technology Services,"Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also provides digital supply chain, Microsoft business application services, Microsoft cloud business, Oracle, SAP, service experience transformation, Salesforce, energy transition, network transformation services, infrastructure services, global capability center, and Infosys Cobalt, a suite of services, solutions, and platforms. In addition, the company offers experience services, including digital marketing, digital commerce, digital interactions, digital workplace services, digital experience, metaverse, and Infosys Aster, a marketing suite; and EdgeVerve, Infosys Finacle, Infosys Live Enterprise Suite, Infosys Cortex, Infosys Meridian, Panaya, Infosys Equinox, Infosys Topaz Fabric, Infosys Wingspan, Infosys Helix, and Infosys Polycloud platforms. It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication services, consumer packaged goods, education, engineering procurement and construction, financial services, oil and gas, private equity, professional services, public sector, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life sciences, logistics and distribution, media, entertainment, mining, retail, semiconductor, travel and hospitality, utilities, and waste management industries. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",328594.0,Mr. Salil Satish Parekh,1981.0,,,,,,,,,,,,,,,,yfinance,1055.78,1072.96,1057.11,1102.17,1160.28,1332.91,1048.76,1059.4,1066.91,1101.16,1171.35,1277.75,False,False,False,44.84,neutral,-11.21,-10.23,-0.99,bearish,1026.63,1034.77,1050.73,1058.87,1010.67,1002.53,986.57,-2.15,-9.66,-37.09,-33.3,27.16,strongly bearish,0,14,4125455810560,4236080840704.0,13.24922,12.513482,1.93,204.65602,4.368859,210.144,956.658,76.88,81.4002,233.15013,0.31439,0.15093,0.29517,0.20928,0.21966,0.16434999,0.066,0.118,0.132,9.827,1.978,1.716,20157999104.0,3312999936,4039000064.0,3170249984.0,5040000000.0,6.55,919000000.0,13.04,3.44,3.58,4.75,0.6465,25.0,2026-06-10,2026-07-23,0.131,,,0.16354999,0.51507,14.38,85.38,31-MAR-2026,buy,40.0,1325.7,1800.0,950.0,"Red Flags For IT: TCS, Infosys Drop 2% As Weak Guidance, High Valuations Spooks Investors (NDTV Profit, 2026-07-21) | Infosys Limited (NSE:INFY) Set for Friday as AI Shares Gain, Forecast Range Tightens (TechStock², 2026-07-23) | Infosys Stock Leads 3 Founder Backed Indian Companies Worth Watching (simplywall.st, 2026-06-27) | Nifty IT falls nearly 3%; Infosys, TCS, Wipro among top losers as US rate fear, AI disruption weigh on... (Moneycontrol.com, 2026-06-30) | Mphasis, Persistent Systems, Infosys power IT rally; NIFTY IT index jumps over 3.5% (Upstox, 2026-07-01)",3,2,23-Jul-2026 21:04:09: Updates | 23-Jul-2026 16:43:21: Updates | 23-Jul-2026 16:20:26: Outcome of Board Meeting,2026-07-24T05:36:41.231638+00:00
RIIL,NSE-RIIL,Reliance Indl. Infra,NSE,INE046A01015,Industrials,Engineering & Construction,"Reliance Industrial Infrastructure Limited engages in the infrastructure and support services activities in India. The company is involved in setting up and operating industrial infrastructure; transportation of petroleum products, natural gas, and raw water through its pipelines; and other infrastructure support services. It primarily operates in Mumbai and the Rasayani regions of Maharashtra, as well as the Surat and Jamnagar belts of Gujarat. The company was formerly known as CPPL Limited and changed its name to Reliance Industrial Infrastructure Limited in March 1994. Reliance Industrial Infrastructure Limited is based in Mumbai, India.",,Mr. Vipin Chandra Sati,,,,,,,,,,,,,,,,,yfinance,759.82,773.66,792.85,787.27,755.6,784.65,753.42,768.86,783.83,785.64,778.83,797.41,False,False,True,16.66,oversold,-13.99,-5.7,-8.29,bearish,728.82,738.18,751.32,760.68,715.68,706.32,693.18,-14.97,-8.93,2.69,-24.0,39.46,strongly bearish,0,14,10948254720,7996664832.0,89.73391,87.2503,1.07,26.31792,2.3101947,19.223,-89.498,8.08,8.31,313.848,,,0.86106,-0.41204,-0.21478,0.29159,-0.307,-0.083,-0.084,,,,416000000.0,121300000,,,86400000.0,-30.82,28400000.0,-11.25,-12.61,-10.99,0.47,0.4353,3.5,2026-06-12,,0.116,,,0.47276002,0.00712,45.43,54.57,31-MAR-2026,none,,,,,,0,0,15-Jul-2026 16:28:37: Press Release | 15-Jul-2026 16:24:59: Outcome of Board Meeting | 30-Jun-2026 16:37:13: Trading Window,2026-07-24T05:36:44.583247+00:00
VISL,NSE-VISL,Vedanta Iron & Steel,NSE,INE1CLE01013,Basic Materials,Steel,"Vedanta Iron and Steel Limited engages in the exploration, mining, and processing of iron ore in India and West Africa. It produces steel, wire rods, TMT bars, billets, pig iron, ductile iron pipes, ferro-silicon, cement, and metallurgical coke. The company was founded in 1954 and is based in Panjim, India. Vedanta Iron and Steel Limited is a subsidiary of Vedanta Resources Limited.",,Mr. Pankaj Kumar Sharma,1954.0,,,,,,,,,,,,,,,,yfinance,31.71,33.19,34.95,,,,31.66,32.62,32.53,29.26,26.21,23.97,,,,26.75,oversold,,,,,30.71,31.08,31.61,31.98,30.18,29.81,29.28,-1.1,,,,78.84,bearish,3,7,119423254528,,,,,,-4.1214576,,,-7.36,,-7.41,,-1.1127601,0.0,0.0,0.0,0.0,,,,,0.194,0.194,,-366000,-242000.0,-97875.0,,,,,,,,0.0,,,,,,,0.58387,0.096379995,56.38,43.46,30-JUN-2026,none,,,,,"Vedanta Iron & Steel zooms 10%, up 70% since listing; time to book profit? (Business Standard, 2026-06-30) | Multibagger Alert! Vedanta Iron and Steel share price soars 113% since listing - More upside ahead? (livemint.com, 2026-07-02) | Trending Stocks Today, July 3, 2026: PC Jeweller Spikes After Business Update; Vedanta Iron & Steel, Vedanta Oil & Gas Down on Profit Booking; Vodafone Idea Continues to Decline (HDFC Sky, 2026-07-03) | SEBI Vedanta listing: Goa Congress seeks pause on VISL over Rs 16,500 crore Goa mining liability (Goodreturns, 2026-07-19) | Vedanta Aluminium, Vedanta Iron & Steel: Vedanta Group firms post Q1 updates; key metrics to track (Upstox, 2026-07-06)",2,1,"23-Jul-2026 18:18:14: Agreements | 18-Jul-2026 16:23:38: Agreements | 08-Jul-2026 11:41:44: Certificate under SEBI (Depositories and Participants) Regulations, 2018",2026-07-24T05:36:47.914903+00:00
ADANIENSOL,NSE-ADANIENSOL,Adani Energy Solut.,NSE,INE931S01010,Utilities,Utilities - Independent Power Producers,"Adani Energy Solutions Limited, together with its subsidiaries, generates, transmits, and distributes power in India. It operates through the Transmission; Distribution; Smart Meter; Trading; and Others segments. The company is involved in the establishment, commission, setting up, operation, and maintenance of electric power transmission systems; development, ownership, and operation of transmission lines; trade of bullion and other commodities; and laying of optical ground wire fibers on transmission lines to telecom solutions to telecom companies, internet service providers, and long-distance communication operators. It also provides electricity meters to optimize real-time insights of electricity usage. The company was formerly known as Adani Transmission Limited and changed its name to Adani Energy Solutions Limited in July 2023. The company was incorporated in 2013 and is headquartered in Ahmedabad, India. Adani Energy Solutions Limited operates as a subsidiary of S.B. Adani Family Trust.",3514.0,Mr. Kandarp  Patel,2013.0,,,,,,,,,,,,,,,,yfinance,1714.56,1699.78,1641.23,1546.19,1352.27,1163.87,1702.31,1690.22,1650.66,1545.04,1404.05,1238.54,True,True,True,61.64,neutral,54.28,55.11,-0.82,bearish,1687.43,1706.07,1718.63,1737.27,1674.87,1656.23,1643.67,12.32,17.98,88.31,94.29,46.19,bullish,10,4,2034372182016,2500798709760.0,71.3353,49.402172,,6.6744866,8.000662,8.205,25.936,23.74,34.27987,211.67,,,0.43660998,0.24952,0.31635,0.095769994,0.424,1.241,1.242,194.5,,,304798302208.0,29191200768,,,97110800000.0,52.34,11490600000.0,77.56,27.69,22.02,,0.0,,,2026-07-21,0.841,,,0.74035,0.22004999,72.73,27.27,31-MAR-2026,buy,9.0,1657.6666,1968.0,1434.0,"Veefin Solutions: शेयरहोल्डर्स की मंजूरी मिली, अब BSE मेन बोर्ड और NSE पर होगी लिस्टिंग! (Whalesbook, 2026-07-23) | Power Grid Corp Share Price Today Live NSE/BSE - Stock Price, News and Chart Updates 23 July 2026 (ET Now, 2026-07-20)",0,0,22-Jul-2026 20:01:17: Analysts/Institutional Investor Meet/Con. Call Updates | 21-Jul-2026 21:50:14: General Updates | 21-Jul-2026 18:51:34: Press Release,2026-07-24T05:36:51.351636+00:00
