trading_symbol,groww_symbol,company_name,exchange,isin,sector,industry,business_summary,employees,ceo_name,founded_year,last_price,average_price,day_open,day_high,day_low,previous_close,day_change,day_change_perc,bid_price,bid_quantity,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,volume,price_source,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,above_sma_50,above_sma_200,golden_cross,rsi_14,rsi_verdict,macd,macd_signal,macd_histogram,macd_verdict,pivot,resistance_1,resistance_2,resistance_3,support_1,support_2,support_3,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,annualized_volatility_pct,technical_summary,bullish_signal_count,bearish_signal_count,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,trailing_eps,forward_eps,book_value,roe,roa,gross_margin,operating_margin,ebitda_margin,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,total_revenue,net_income,operating_cash_flow,free_cash_flow,latest_quarter_revenue,latest_quarter_revenue_yoy_growth_pct,latest_quarter_profit,latest_quarter_profit_yoy_growth_pct,revenue_cagr_3y_pct,profit_cagr_3y_pct,dividend_yield,payout_ratio,last_dividend_amount,last_dividend_ex_date,next_earnings_date,beta,fifty_two_week_change,short_ratio,held_percent_insiders,held_percent_institutions,promoter_holding_pct,public_holding_pct,shareholding_as_of,analyst_recommendation,analyst_count,analyst_target_mean,analyst_target_high,analyst_target_low,recent_news,news_positive_signals,news_negative_signals,recent_corporate_announcements,fetched_at
TCS,NSE-TCS,TCS,NSE,INE467B01029,Technology,Information Technology Services,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cloud, SAP transformation with AI-powered smart solutions; ignio, a cognitive automation software product; TCS iON, a learning ecosystem; and TCS HOBS, a cloud-native, catalog-centric platform with composable architecture and insights-led personalization capabilities. It also offers TCS Intelligent Urban Exchange for enterprises and smart cities; TCS OmniStore, a retail commerce platform; TCS Optumera, a strategic intelligence platform; TCS Tap, a platform for intelligent procurement; Quartz, a distributed ledger technology; TCS TwinX, a risk-free experimentation platform; TCS MasterCraft, an AI-driven cognitive automation product; Jile, an enterprise agile planning and delivery tool; TCS DigiBOLT, an end-to-end, organization-wide enterprise platform; and TCS AI WisdomNext, an enterprise grade GenAI platform. In addition, the company provides AI, data and analytics, cloud, cognitive business, consulting, cybersecurity, enterprise solutions, industrial autonomy and engineering, network solutions and services, TCS interactive, and sustainability services. It serves banking; capital markets; consumer packaged goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high tech; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. The company operates as a subsidiary of Tata Sons Private Limited.",584519.0,"Mr. K.  Krithivasan B.E, M.Tech.",1968.0,,,,,,,,,,,,,,,,yfinance,2418.2,2331.32,2240.43,2189.32,2285.84,2621.39,2398.73,2347.47,2278.25,2244.03,2336.0,2550.99,True,False,False,73.94,overbought,73.12,47.42,25.7,bullish,2450.5,2465.9,2482.8,2498.2,2433.6,2418.2,2401.3,17.62,2.48,-20.11,-16.54,24.04,strongly bullish,12,2,,8624053157888.0,17.787624,15.077472,3.09,,8.082134,3.126,11.966,137.68,162.42776,303.014,0.47743,0.24479,0.40389,0.23963,0.26125,0.18052,0.139,0.046,0.046,10.211,2.276,2.045,2758590070784.0,497990008832,523459985408.0,397165002752.0,722750000000.0,12.09,133490000000.0,9.2,5.8,5.3,2.75,0.38509998,12.0,2026-07-15,2026-10-08,0.164,,,0.71795,0.17525999,71.77,28.23,31-MAR-2026,buy,42.0,2481.0476,3655.0,1800.0,"IT stocks see profit booking after five-day rally as AI optimism returns; Infosys, TCS fall up to 3% (IndiaIPO, 2026-07-31) | Infosys, TCS stocks jump 2-3%, Nifty IT up over 2% as easing US Fed rate-hike fears boost tech stocks (Moneycontrol.com, 2026-07-27) | TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus (Business Standard, 2026-07-09) | TCS to Announce Q1 FY27 Financial Results on July 9, 2026 (scanx.trade, 2026-07-09) | Nifty IT index gains 3.5% on Friday as TCS jumps 4% post Q1FY27 results (Business Standard, 2026-07-10)",4,1,03-Aug-2026 17:46:43: Copy of Newspaper Publication | 27-Jul-2026 15:05:32: Analysts/Institutional Investor Meet/Con. Call Updates | 22-Jul-2026 16:33:09: Updates,2026-08-04T05:32:11.310475+00:00
INFY,NSE-INFY,Infosys,NSE,INE009A01021,Technology,Information Technology Services,"Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also provides digital supply chain, Microsoft business application services, Microsoft cloud business, Oracle, SAP, service experience transformation, Salesforce, energy transition, network transformation services, infrastructure services, global capability center, and Infosys Cobalt, a suite of services, solutions, and platforms. In addition, the company offers experience services, including digital marketing, digital commerce, digital interactions, digital workplace services, digital experience, metaverse, and Infosys Aster, a marketing suite; and EdgeVerve, Infosys Finacle, Infosys Live Enterprise Suite, Infosys Cortex, Infosys Meridian, Panaya, Infosys Equinox, Infosys Topaz Fabric, Infosys Wingspan, Infosys Helix, and Infosys Polycloud platforms. It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication services, consumer packaged goods, education, engineering procurement and construction, financial services, oil and gas, private equity, professional services, public sector, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life sciences, logistics and distribution, media, entertainment, mining, retail, semiconductor, travel and hospitality, utilities, and waste management industries. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",328062.0,Mr. Salil Satish Parekh,1981.0,,,,,,,,,,,,,,,,yfinance,1140.96,1099.79,1089.78,1100.13,1151.79,1323.74,1135.39,1115.42,1098.53,1108.47,1167.22,1268.87,True,False,False,62.54,neutral,14.17,2.46,11.71,bullish,1163.47,1170.53,1182.77,1189.83,1151.23,1144.17,1131.93,10.61,1.38,-27.89,-20.63,27.39,bullish,11,3,4691258245120.0,4776436170752.0,14.941952,14.489808,2.01,231.10785,5.101397,235.304,1065.693,77.52,79.93895,227.05545,0.32,0.15297,0.29676,0.21173,0.2208,0.16370001,0.029,0.053,0.012,9.541,1.862,1.594,20298999808.0,3323000064,4092000000.0,3165625088.0,5082000000.0,2.85,819000000.0,1.24,3.44,3.58,4.42,0.64599997,25.0,2026-06-10,2026-10-23,0.107,,,0.19312,0.52733004,14.38,85.38,31-MAR-2026,buy,42.0,1199.0238,1610.0,940.0,"Infosys shares jump 11% in three-day rally amid anti-AI play; should you buy, sell or hold? (Moneycontrol.com, 2026-07-29) | IT stocks see profit booking after five-day rally as AI optimism returns; Infosys, TCS fall up to 3% (IndiaIPO, 2026-07-31) | Infosys Shares Decline Nearly 3 Pc After Q1 Earnings (ETV Bharat, 2026-07-24) | Infosys shares declines nearly 3 per cent after revised FY27 guidance (Telangana Today, 2026-07-24) | Infosys (NSE:INFY) Shares Gain 3.7% Despite Guidance Cut, Lifted by Sector Rebalancing (TechStock², 2026-07-27)",3,3,04-Aug-2026 10:29:03: Updates | 30-Jul-2026 15:27:40: Updates | 28-Jul-2026 20:24:53: Updates,2026-08-04T05:32:15.995113+00:00
RIIL,NSE-RIIL,Reliance Indl. Infra,NSE,INE046A01015,Industrials,Engineering & Construction,"Reliance Industrial Infrastructure Limited engages in the infrastructure and support services activities in India. The company is involved in setting up and operating industrial infrastructure; transportation of petroleum products, natural gas, and raw water through its pipelines; and other infrastructure support services. It primarily operates in Mumbai and the Rasayani regions of Maharashtra, as well as the Surat and Jamnagar belts of Gujarat. The company was formerly known as CPPL Limited and changed its name to Reliance Industrial Infrastructure Limited in March 1994. Reliance Industrial Infrastructure Limited is based in Mumbai, India.",,Mr. Vipin Chandra Sati,,,,,,,,,,,,,,,,,yfinance,734.63,743.98,767.37,786.24,758.88,779.4,738.08,745.99,762.36,775.14,774.04,793.19,False,False,True,30.07,neutral,-18.59,-14.94,-3.65,bearish,745.58,748.67,753.08,756.17,741.17,738.08,733.67,-8.66,-8.74,4.24,-16.12,39.21,bearish,3,11,11238174720.0,8067635200.0,92.79925,89.56077,1.07,27.014843,2.371371,19.393,-90.293,8.02,8.31,313.848,,,0.86106,-0.41204,-0.21478,0.29159,-0.307,-0.083,-0.084,,,,416000000.0,121300000,,,86400000.0,-30.82,28400000.0,-11.25,-12.61,-10.99,0.47,0.4353,3.5,2026-06-12,,0.113,,,0.47276002,0.00575,45.43,54.57,31-MAR-2026,none,,,,,,0,0,15-Jul-2026 16:28:37: Press Release | 15-Jul-2026 16:24:59: Outcome of Board Meeting | 30-Jun-2026 16:37:13: Trading Window,2026-08-04T05:32:19.995559+00:00
VISL,NSE-VISL,Vedanta Iron & Steel,NSE,INE1CLE01013,Basic Materials,Steel,"Vedanta Iron and Steel Limited engages in the exploration, mining, and processing of iron ore in India and West Africa. It produces steel, wire rods, TMT bars, billets, pig iron, ductile iron pipes, ferro-silicon, cement, and metallurgical coke. The company was founded in 1954 and is based in Panjim, India. Vedanta Iron and Steel Limited is a subsidiary of Vedanta Resources Limited.",,Mr. Pankaj Kumar Sharma,1954.0,,,,,,,,,,,,,,,,yfinance,31.78,31.47,33.0,,,,32.68,32.28,32.21,29.77,26.82,24.41,,,,51.81,neutral,0.46,0.73,-0.27,bearish,34.96,36.2,36.83,38.07,34.33,33.09,32.46,-12.19,,,,77.67,strongly bullish,10,1,139131617280.0,,,,,,-4.80162,,,-6.72,,-7.41,,-1.1127601,0.0,0.0,0.0,0.0,,,,,0.194,0.194,,-366000,-242000.0,-97875.0,36120000000.0,,1220000000.0,,,,,0.0,,,,,,,0.58387,0.12517,56.38,43.46,30-JUN-2026,none,,,,,"Vedanta Iron & Steel Ltd (VISL) Share Price (Business Today, 2026-08-03) | Vedanta Iron & Steel, two other recently-demerged Vedanta Group stocks fall up to 4.5% post-Q1 results (Moneycontrol.com, 2026-07-30) | Vedanta Iron & Steel, two other recently-demerged Vedanta Group stocks fall up to 4.5% post-Q1 results (IndiaIPO, 2026-07-30) | SEBI Vedanta listing: Goa Congress seeks pause on VISL over Rs 16,500 crore Goa mining liability (Goodreturns, 2026-07-31) | Vedanta Iron & Steel zooms 10%, up 70% since listing; time to book profit? (Business Standard, 2026-06-30)",2,2,01-Aug-2026 18:12:57: Updates | 30-Jul-2026 22:56:06: Analysts/Institutional Investor Meet/Con. Call Updates | 30-Jul-2026 19:07:22: Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,2026-08-04T05:32:23.491013+00:00
ADANIENSOL,NSE-ADANIENSOL,Adani Energy Solut.,NSE,INE931S01010,Utilities,Utilities - Independent Power Producers,"Adani Energy Solutions Limited, together with its subsidiaries, generates, transmits, and distributes power in India. It operates through the Transmission; Distribution; Smart Meter; Trading; and Others segments. The company is involved in the establishment, commission, setting up, operation, and maintenance of electric power transmission systems; development, ownership, and operation of transmission lines; trade of bullion and other commodities; and laying of optical ground wire fibers on transmission lines to telecom solutions to telecom companies, internet service providers, and long-distance communication operators. It also provides electricity meters to optimize real-time insights of electricity usage. The company was formerly known as Adani Transmission Limited and changed its name to Adani Energy Solutions Limited in July 2023. The company was incorporated in 2013 and is headquartered in Ahmedabad, India. Adani Energy Solutions Limited operates as a subsidiary of S.B. Adani Family Trust.",3514.0,Mr. Kandarp  Patel,2013.0,,,,,,,,,,,,,,,,yfinance,1654.1,1682.58,1677.97,1583.48,1393.01,1185.97,1658.82,1668.02,1655.31,1570.13,1433.36,1264.09,True,True,True,41.74,neutral,27.25,41.01,-13.76,bearish,1652.03,1661.07,1673.33,1682.37,1639.77,1630.73,1618.47,5.1,17.16,84.26,99.38,44.91,neutral,6,8,2016407453696.0,2456591532032.0,67.712524,45.603817,,6.6155467,7.789484,8.06,25.477,24.35,36.15487,211.67,,,0.43660998,0.24952,0.31635,0.095769994,0.424,1.241,1.242,194.5,,,304798302208.0,29191200768,,,97110800000.0,52.34,11490600000.0,77.56,27.69,22.02,,0.0,,,2026-10-29,0.679,,,0.7467,0.21430999,72.73,27.27,31-MAR-2026,buy,9.0,1747.6666,2060.0,1434.0,"NHPC Share Price Today Live NSE/BSE - Stock Price, News and Chart Updates 4 August 2026 (ET Now, 2026-07-31)",0,0,01-Aug-2026 12:39:49: Credit Rating- New | 30-Jul-2026 23:01:19: General Updates | 30-Jul-2026 22:13:31: General Updates,2026-08-04T05:32:27.113519+00:00
